run_date,repo,language,files,blank,comment,code
2026-07-20,tn-dept-ag/.github,Markdown,8,125,0,300
2026-07-20,tn-dept-ag/.github,YAML,2,17,10,68
2026-07-20,tn-dept-ag/.github,JSON,3,2,0,53
2026-07-20,tn-dept-ag/.github,SVG,2,0,0,8
2026-07-20,tn-dept-ag/###-6673,Jupyter Notebook,1,0,476,330
2026-07-20,tn-dept-ag/###-6673,Markdown,4,75,0,187
2026-07-20,tn-dept-ag/###-6673,Text,2,4,0,28
2026-07-20,tn-dept-ag/###-6673,JSON,1,2,0,24
2026-07-20,tn-dept-ag/###-9580,Jupyter Notebook,4,0,479,330
2026-07-20,tn-dept-ag/###-9580,Markdown,3,61,0,147
2026-07-20,tn-dept-ag/###-9580,Text,2,6,0,33
2026-07-20,tn-dept-ag/###-9580,JSON,1,2,0,24
2026-07-20,tn-dept-ag/###-2249,Python,6,115,20,454
2026-07-20,tn-dept-ag/###-2249,Jupyter Notebook,2,0,655,397
2026-07-20,tn-dept-ag/###-2249,Markdown,5,100,0,241
2026-07-20,tn-dept-ag/###-2249,JSON,2,2,0,58
2026-07-20,tn-dept-ag/###-2249,Text,2,6,0,33
2026-07-20,tn-dept-ag/###-2249,TOML,1,4,0,24
2026-07-20,tn-dept-ag/###-2615,Jupyter Notebook,2,0,1121,486
2026-07-20,tn-dept-ag/###-2615,Markdown,3,61,0,147
2026-07-20,tn-dept-ag/###-2615,Text,2,6,0,33
2026-07-20,tn-dept-ag/###-2615,JSON,1,2,0,24
2026-07-20,tn-dept-ag/tda-code-metrics,HTML,1,71,0,461
2026-07-20,tn-dept-ag/tda-code-metrics,Python,1,102,14,407
2026-07-20,tn-dept-ag/tda-code-metrics,Markdown,1,151,0,322
2026-07-20,tn-dept-ag/tda-code-metrics,Text,1,1,0,13
2026-07-20,tn-dept-ag/###-8658,Markdown,4,63,0,149
2026-07-20,tn-dept-ag/###-8658,Text,2,4,0,28
2026-07-20,tn-dept-ag/###-8658,JSON,1,2,0,24
2026-07-20,tn-dept-ag/###-5427,Jupyter Notebook,1,0,481,330
2026-07-20,tn-dept-ag/###-5427,Markdown,5,68,0,168
2026-07-20,tn-dept-ag/###-5427,Text,2,6,0,33
2026-07-20,tn-dept-ag/###-5427,JSON,1,2,0,24
2026-07-20,tn-dept-ag/###-2305,CSV,23,0,0,15424
2026-07-20,tn-dept-ag/###-2305,Jupyter Notebook,7,0,8071,4209
2026-07-20,tn-dept-ag/###-2305,Markdown,4,80,0,204
2026-07-20,tn-dept-ag/###-2305,Text,3,6,0,46
2026-07-20,tn-dept-ag/###-2305,JSON,1,2,0,24
2026-07-20,tn-dept-ag/###-1371,Python,2,164,50,644
2026-07-20,tn-dept-ag/###-1371,Jupyter Notebook,1,0,481,330
2026-07-20,tn-dept-ag/###-1371,Markdown,3,107,0,245
2026-07-20,tn-dept-ag/###-1371,JSON,1,2,0,24
2026-07-20,tn-dept-ag/###-1371,Text,1,2,0,12
2026-07-20,tn-dept-ag/###-5184,Python,1,106,7,419
2026-07-20,tn-dept-ag/###-5184,Jupyter Notebook,2,0,482,330
2026-07-20,tn-dept-ag/###-5184,Markdown,6,111,0,247
2026-07-20,tn-dept-ag/###-5184,JSON,1,2,0,24
2026-07-20,tn-dept-ag/###-5184,Text,2,4,0,23
2026-07-20,tn-dept-ag/###-5184,DOS Batch,1,3,0,11
2026-07-20,tn-dept-ag/###-8886,Jupyter Notebook,1,0,705,1802
2026-07-20,tn-dept-ag/###-8886,Python,1,306,229,1760
2026-07-20,tn-dept-ag/###-8886,Markdown,4,192,0,479
2026-07-20,tn-dept-ag/###-8886,YAML,1,3,0,32
2026-07-20,tn-dept-ag/###-8886,Text,2,5,0,30
2026-07-20,tn-dept-ag/###-8886,JSON,1,2,0,24
