run_date,repo,language,files,blank,comment,code
2026-07-10,tn-dept-ag/tda-code-metrics,Python,1,102,14,407
2026-07-10,tn-dept-ag/tda-code-metrics,HTML,1,54,0,334
2026-07-10,tn-dept-ag/tda-code-metrics,Markdown,1,117,0,246
2026-07-10,tn-dept-ag/tda-code-metrics,Text,1,1,0,5
2026-07-10,tn-dept-ag/tda-template,Jupyter Notebook,1,0,481,330
2026-07-10,tn-dept-ag/tda-template,Markdown,5,68,0,167
2026-07-10,tn-dept-ag/tda-template,Text,2,6,0,33
2026-07-10,tn-dept-ag/tda-template,JSON,1,2,0,24
2026-07-10,tn-dept-ag/tdf-agol-data-backups,Jupyter Notebook,1,0,481,330
2026-07-10,tn-dept-ag/tdf-agol-data-backups,Markdown,5,145,0,324
2026-07-10,tn-dept-ag/tdf-agol-data-backups,Python,2,62,58,207
2026-07-10,tn-dept-ag/tdf-agol-data-backups,Text,2,6,0,33
2026-07-10,tn-dept-ag/tdf-agol-data-backups,JSON,1,2,0,24
2026-07-10,tn-dept-ag/tdf-facilities,Jupyter Notebook,1,0,705,1802
2026-07-10,tn-dept-ag/tdf-facilities,Python,1,306,229,1760
2026-07-10,tn-dept-ag/tdf-facilities,Markdown,4,192,0,479
2026-07-10,tn-dept-ag/tdf-facilities,YAML,1,3,0,32
2026-07-10,tn-dept-ag/tdf-facilities,Text,2,5,0,30
2026-07-10,tn-dept-ag/tdf-facilities,JSON,1,2,0,24
2026-07-10,tn-dept-ag/tda-agol-content-management,Jupyter Notebook,4,0,479,330
2026-07-10,tn-dept-ag/tda-agol-content-management,Markdown,3,61,0,147
2026-07-10,tn-dept-ag/tda-agol-content-management,Text,2,6,0,33
2026-07-10,tn-dept-ag/tda-agol-content-management,JSON,1,2,0,24
2026-07-10,tn-dept-ag/tdf-agol-admin-insights,CSV,23,0,0,15424
2026-07-10,tn-dept-ag/tdf-agol-admin-insights,Jupyter Notebook,7,0,8071,4209
2026-07-10,tn-dept-ag/tdf-agol-admin-insights,Markdown,4,80,0,204
2026-07-10,tn-dept-ag/tdf-agol-admin-insights,Text,3,6,0,46
2026-07-10,tn-dept-ag/tdf-agol-admin-insights,JSON,1,2,0,24
2026-07-10,tn-dept-ag/tda-agol-monitor-dependencies,Jupyter Notebook,2,0,1121,486
2026-07-10,tn-dept-ag/tda-agol-monitor-dependencies,Markdown,3,61,0,147
2026-07-10,tn-dept-ag/tda-agol-monitor-dependencies,Text,2,6,0,33
2026-07-10,tn-dept-ag/tda-agol-monitor-dependencies,JSON,1,2,0,24
2026-07-10,tn-dept-ag/tda-admin-management,Jupyter Notebook,1,0,476,330
2026-07-10,tn-dept-ag/tda-admin-management,Markdown,4,75,0,187
2026-07-10,tn-dept-ag/tda-admin-management,Text,2,4,0,28
2026-07-10,tn-dept-ag/tda-admin-management,JSON,1,2,0,24
2026-07-10,tn-dept-ag/tda-supervisor-management,Markdown,4,63,0,149
2026-07-10,tn-dept-ag/tda-supervisor-management,Text,2,4,0,28
2026-07-10,tn-dept-ag/tda-supervisor-management,JSON,1,2,0,24
2026-07-10,tn-dept-ag/.github,Markdown,8,125,0,299
2026-07-10,tn-dept-ag/.github,YAML,2,17,10,68
2026-07-10,tn-dept-ag/.github,JSON,3,2,0,53
2026-07-10,tn-dept-ag/.github,SVG,2,0,0,8
